	categories_list
Fate/stay night	[Action, Fantasy, Romance, BasedonanEroge, BasedonaVisualNovel, Magic, Superpowers]
Fate/stay night: Heaven's Feel	[Action, Fantasy, Romance, BasedonanEroge, BasedonaVisualNovel, Magic, Superpowers]
Fate/stay night: TV reproduction	[Action, Fantasy, Magic, Superpowers]
Fate/stay night: Unlimited Blade Works	[Action, Fantasy, Magic, Superpowers, Violence]
Fate/stay night: Unlimited Blade Works TV	[Action, Fantasy, BasedonanEroge, BasedonaVisualNovel, Magic, Superpowers]
Fate/stay night: Unlimited Blade Works TV 2	[Action, Fantasy, BasedonanEroge, BasedonaVisualNovel, Magic, Superpowers]
Fate/stay night: Unlimited Blade Works TV 2 - Sunny Day	[Action, Fantasy, BasedonanEroge, BasedonaVisualNovel, Magic, Superpowers]
Fate/stay night: Unlimited Blade Works TV Prologue	[Action, Fantasy, Magic, Superpowers]
Fetish Doll	[Shorts]
Fig	[Shorts]
Fight Ippatsu! Juuden-Chan!!	[Comedy, Ecchi, SciFi, BasedonaManga, Nudity, PantyShots]
Fight Ippatsu! Juuden-Chan!! Specials	[Comedy, SexualContent]
Fight Ippatsu! Juuden-chan!! OVA	[]
Fight!! Spirit of the Sword	[Fantasy, Demons]
Fighting Beauty Wulong	[Action, Ecchi, BasedonaManga, MartialArts, Tournaments]
Fighting Beauty Wulong Rebirth	[Action, Ecchi, BasedonaManga, MartialArts, MatureThemes]
Fighting Foodons	[Action, BasedonaManga, FamilyFriendly, FoodandBeverage]
Figure 17	[Drama, SciFi, SliceofLife, Aliens, ComingofAge, FamilyFriendly, OriginalWork, SchoolLife]
File(N): Project PQ	[Fantasy, OriginalWork]
Final Approach	[Comedy, Romance, Seinen]
Final Fantasy Unlimited	[Action, Adventure, Fantasy, Magic, PersoninaStrangeWorld]
Final Fantasy VII: Advent Children	[Action, Fantasy, BasedonaVideoGame, CGAnimation, MartialArts, Swordplay]
Final Fantasy VII: Last Order	[Action, Fantasy, SciFi, BasedonaVideoGame]
Final Fantasy VII: On the Way to a Smile, Episode: Denzel	[Action, Fantasy, Magic]
Final Fantasy: Legend Of The Crystals	[Adventure, Ecchi, Fantasy, BasedonaVideoGame, Magic, PantyShots]
Final Fantasy: The Spirits Within	[Action, SciFi, CGAnimation, Post-apocalyptic]
Final Yamato	[BasedonanAnime]
Fire Emblem	[Action, Fantasy, BasedonaVideoGame, Medieval, RPG, Swordplay]
Fire Tripper	[FeudalJapan, PersoninaStrangeWorld, TimeTravel]
Fireball	[Comedy, SciFi, Androids, CGAnimation, Episodic, OriginalWork, Robots]
Fireball Charming	[Comedy, SciFi, Androids, CGAnimation, Episodic, OriginalWork, Robots]
Firestorm	[Action, Aliens, Military]
First Kiss Story	[]
First Love Monster	[Comedy, Romance, Shoujo, BasedonaManga]
First Squad	[Military, Swordplay, War]
First Squad: The Moment Of Truth	[Action, Fantasy, ExplicitViolence, Gunfights, Military, OriginalWork, Superpowers, Swordplay, War, WorldWar2]
Fish in the Trap	[Drama, Shounen-ai, SexualContent]
Fist of the North Star	[Action, ExplicitViolence, HandtoHandCombat, MartialArts, Post-apocalyptic]
Fist of the North Star 2	[Action, ExplicitViolence, HandtoHandCombat, MartialArts, Post-apocalyptic]
Fist of the North Star: Legend of Kenshiro	[]
Fist of the North Star: Legend of Raoh: Death for Love	[]
Fist of the North Star: Legend of Raoh: Fierce Fight	[]
Fist of the North Star: Legend of Toki	[]
Fist of the North Star: Legend of Yuria	[]
Fist of the North Star: Strawberry Flavor	[Comedy, BasedonaManga, Parody]
Fist of the North Star: The Movie	[Action, MartialArts, Post-apocalyptic, Violence]
Five Star Stories	[Fantasy]
Flag	[Drama, Mecha, Seinen, Military, OriginalWork, Political, War, WorkLife]
Flame of Recca	[Action, Shounen, BasedonaManga, HandtoHandCombat, Ninja, Superpowers, Tournaments]
Flame of Recca: Final Burning	[]
Flanders no Inu	[WorldMasterpieceTheater]
Flanders no Inu: Boku no Patrasche	[BasedonaNovel]
Flint, the Time Detective	[Adventure, Shounen]
Flower Witch Mary Bell	[MagicalGirl, Shoujo, FamilyFriendly, Magic, OriginalWork]
Flower Witch Mary Bell: The Phoenix Key	[]
Flying Ghost Ship	[Action, Mecha, Mystery, SciFi, Revenge]
Flying House	[Adventure, BasedonaNon-FictionWork, FamilyFriendly, Religion]
Flying Witch	[Comedy, SliceofLife, BasedonaManga, Supernatural]
Folktales from Japan	[Comedy, Drama, Fantasy, Episodic, FamilyFriendly, JapaneseMythology]
Food Wars! Shokugeki no Souma	[Comedy, Ecchi, Shounen, BasedonaManga, CulinarySchool, FoodandBeverage, SchoolLife]
Food Wars! Shokugeki no Souma: Jump Festa 2015 Special	[Shounen, BasedonaManga, CulinarySchool, FoodandBeverage, SchoolLife]
Force	[Shorts]
Fortune Arterial OVA	[BasedonanEroge, BasedonaVisualNovel]
Fortune Arterial: Akai Yakusoku	[Drama, Romance, BasedonanEroge, BasedonaVisualNovel, SchoolLife, Vampires]
Fortune Quest L	[Adventure, Fantasy]
Fortune Quest OVA	[Adventure, Fantasy]
Four Birds	[Comedy, AnimalProtagonists, Shorts]
Four Day Weekend	[Romance, Abstract]
Fractale	[Adventure, Fantasy, SciFi, Dystopia, noitaminA, OriginalWork]
Frame Arms: A Violent Struggle	[Mecha]
Francesca	[Comedy, Supernatural]
Franz Kafka's A Country Doctor	[Psychological, Shorts]
Free! - Iwatobi Swim Club	[Drama, Sports, BasedonaLightNovel, SchoolClub, SchoolLife]
Free! - Iwatobi Swim Club Specials	[Comedy]
Free! Eternal Summer	[Drama, Sports, BasedonaLightNovel, SchoolClub, SchoolLife]
Free! Eternal Summer Special	[]
Freedom	[Adventure, SciFi, OuterSpace, Post-apocalyptic]
Freedom Prologue	[]
Freezing	[Action, Ecchi, Aliens, BasedonaManga, Nudity, PantyShots, PhysicalAbuse, Superpowers, Violence]
Freezing Specials	[Comedy, Ecchi, ExplicitSex, PantyShots]
Freezing Vibration	[Action, Aliens, BasedonaManga, Nudity, PhysicalAbuse, SexualAbuse, Superpowers, Violence]
Freezing Vibration Specials	[Ecchi, ExplicitSex, PantyShots]
Fresh Pretty Cure!	[Action, MagicalGirl, Shoujo, FamilyFriendly, Magic, Monster-of-the-week]
Fresh Pretty Cure! Omocha no Kuni wa Himitsu ga Ippai!?	[MagicalGirl, Shoujo, Magic]
Friends: Mononoke Shima no Naki	[]
From Up On Poppy Hill	[Drama, Romance, SliceofLife, BasedonaManga, ComingofAge, Historical, SchoolLife]
From the New World	[Adventure, Mystery, SciFi, BasedonaNovel, ComingofAge, Dystopia, Post-apocalyptic, PsychicPowers, Thriller, Violence]
Fruits Basket	[Comedy, Drama, Fantasy, ReverseHarem, Romance, Shoujo, BasedonaManga]
Fujilog	[Comedy, SliceofLife, OriginalWork]
Fujimi Orchestra	[Drama, Shounen-ai, ClassicalMusic, Music]
Full Metal Panic!	[Action, Comedy, Mecha, SciFi, BasedonaLightNovel, Military, Tsundere, Violence]
Full Metal Panic! 3	[Action, Comedy, Mecha, SciFi, BasedonaLightNovel, Military, Tsundere]
Full Metal Panic! The Second Raid	[Action, Comedy, Mecha, SciFi, BasedonaLightNovel, Military, Tsundere, Violence]
Full Metal Panic! The Second Raid OVA	[Comedy, Military, Tsundere]
Full Metal Panic! The Second Raid: Episode 00	[Action, BasedonaLightNovel, Military, War]
Full Metal Panic? Fumoffu	[Action, Comedy, Romance, BasedonaLightNovel, Military, SchoolLife, Tsundere]
Full Moon Party	[]
Full Moon wo Sagashite	[MagicalGirl, Romance, Shoujo, AgeTransformation, BasedonaManga, Idols, Magic, Music, Shinigami, WorkLife]
Full Moon wo Sagashite: Cute Cute Adventure	[Comedy, Fantasy, MagicalGirl, AgeTransformation, FamilyFriendly, Magic]
Fullmetal Alchemist	[Action, Adventure, Drama, Fantasy, Mystery, AnimalAbuse, BasedonaManga, Military, Violence]
Fullmetal Alchemist The Movie: Conqueror of Shamballa	[Europe, Science, WorldWar2]
Fullmetal Alchemist: Brotherhood	[Action, Adventure, Drama, Fantasy, Mystery, AnimalAbuse, BasedonaManga, Military, Violence]
Fullmetal Alchemist: Brotherhood Specials	[Action, Comedy, Drama, Fantasy]
Fullmetal Alchemist: Brotherhood: 4-Koma Theater	[Comedy, Omake]
Fullmetal Alchemist: Premium Collection	[Action, Comedy, Fantasy, Military]
Fullmetal Alchemist: Reflections	[Action, Adventure, Drama, Fantasy, BasedonaManga, Military, Recap, Violence]
Fullmetal Alchemist: The Sacred Star of Milos	[Action, Fantasy, Shounen, Military]
Fullmetal Alchemist: The Sacred Star of Milos Specials	[Comedy]
Fuma no Kojirou: Fuma Hanran-hen	[]
Fuma no Kojirou: Seiken Sensou-hen	[]
Fuma no Kojirou: Yasha-hen	[]
Fumiko no Kokuhaku	[Comedy, Romance, OriginalWork, PantyShots, Shorts]
Fumoon	[SciFi, Environmental, Political, War]
Funassyi no FunaFunaFuna Biyori	[Comedy, SliceofLife, FamilyFriendly]
Funny Pets	[Comedy, SciFi, SliceofLife, Aliens, CGAnimation, OriginalWork]
Funny Pets 2	[Comedy, SciFi, SliceofLife, Aliens, CGAnimation, Crude, OriginalWork]
Furakappa	[Comedy, FamilyFriendly]
Furiko	[Drama, Romance, BlackandWhite, Shorts]
Furudera no Obake-soudou	[BlackandWhite, JapaneseAnimeClassicCollection, Shorts]
Furusato Japan	[Drama, SliceofLife, Music]
Fuse Teppou Musume no Torimonochou	[Fantasy, BasedonaNovel, FeudalJapan]
Fusha no Sha	[Shorts, StopMotionAnimation]
Fushigi Mahou Fun Fun Pharmacy	[Fantasy, Shoujo, FamilyFriendly, Magic]
Fushigi Yugi OVA 1	[Fantasy, Romance]
Fushigi Yugi OVA 2	[Fantasy, Romance, Reincarnation]
Fushigi Yugi OVA 3	[Fantasy, Romance]
Fushigi Yugi: The Mysterious Play	[Adventure, Fantasy, ReverseHarem, Romance, Shoujo, BasedonaManga, Magic, PersoninaStrangeWorld]
Fushigi na Koala Blinky	[AnimalProtagonists, FamilyFriendly, OriginalWork]
Fushigi na Kusuri	[Shorts, StopMotionAnimation]
Fushigi na Somera-chan	[Comedy, BasedonaManga]
Fushigi no Kuni no Alice	[Fantasy, BasedonaNovel]
Fushigiboshi no Futagohime	[Comedy, Fantasy, MagicalGirl, Shoujo, FamilyFriendly, Magic, OriginalWork]
Fushigiboshi no Futagohime Gyu!	[Comedy, Fantasy, MagicalGirl, Shoujo, FamilyFriendly, Magic, OriginalWork, SchoolLife]
Fusuma no Eshi	[AnimeMirai, Supernatural]
Futakoi	[Harem, Romance, SchoolLife]
Futakoi Alternative	[Comedy, Romance]
Futari Ecchi	[Comedy, Ecchi, BasedonaManga, ExplicitSex]
Futari Ecchi (2014)	[Comedy, Ecchi, BasedonaManga, ExplicitSex]
Futari Gurashi	[]
Futatsu no Kurumi	[Drama, PersoninaStrangeWorld, TimeTravel, WorldWar2]
Futon	[Shorts]
Futsuu no Joshikousei ga [Locodol] Yatte Mita.	[SliceofLife, Idols]
Futsuu no Joshikousei ga [Locodol] Yatte Mita. OVA	[SliceofLife, Idols]
Futsuu no Joshikousei ga [Locodol] Yatte Mita. Special	[Idols]
Future Boy Conan	[Adventure, Drama, SciFi, BasedonaNovel, PhysicalAbuse, Post-apocalyptic]
Future Card Buddyfight	[Shounen, BasedonaCardGame, CardBattles, Monsters]
Future Card Buddyfight 100	[Shounen, BasedonaCardGame, CardBattles, Monsters]
Future Card Buddyfight Recap	[Shounen, Recap]
Future Man	[Nudity, Shorts]
Future Police Urashiman	[SciFi, PersoninaStrangeWorld, Police]
Future War Year 198X	[]
Fuusen Inu Tinny	[AnimalProtagonists, BasedonaNovel, FamilyFriendly]
Fuusen Inu Tinny 2nd Season	[AnimalProtagonists, BasedonaNovel, FamilyFriendly]
Fuuun Ishin Dai Shogun	[Action, Ecchi, Mecha, OriginalWork, Violence]
Fuyu no Hi	[Abstract]
Fuyu no Semi	[Drama, Romance, Historical, LGBTThemes, SexualContent, Yaoi]
Fw: Hamatora	[Action, Drama, Mystery, BasedonaManga, Recap, Superpowers]
G-9	[SciFi, Ga-nime, Shorts]
G-On Riders	[Comedy, Ecchi, Aliens, SchoolLife, Superpowers]
G-On Riders Special	[]
G-Taste (2010)	[Ecchi, BasedonaManga, Fetish, Nudity, SexualContent]
G.I. Joe: Sigma 6	[Action, Military]
GA: Geijutsuka Art Design Class	[Comedy, SliceofLife, BasedonaManga, SchoolLife]
GA: Geijutsuka Art Design Class OVA	[Comedy, SliceofLife]
GANTZ	[Action, SciFi, Aliens, BasedonaManga, Bullying, ExplicitSex, ExplicitViolence, Gunfights, HighStakesGames, MatureThemes, PhysicalAbuse, PlayorDie, Psychological, SexualAbuse]
GANTZ Movie	[Action, SciFi, BasedonaManga, CGAnimation, Gunfights, Psychological]
GJ-bu	[Comedy, SliceofLife, SchoolClub, SchoolLife]
GJ-bu@	[Comedy, SliceofLife, SchoolClub]
GR -Giant Robo-	[Mecha, BasedonaManga]
Ga-Ra-Ku-Ta: Mr. Stain on Junk Alley	[Comedy]
Ga-Rei -Zero-	[Action, Horror, BasedonaManga, Demons, Supernatural, Violence]
Gad Guard	[Action, Mecha, SciFi, Seinen, Superpowers]
Gag Manga Biyori	[Comedy, BasedonaManga, Crude, Episodic]
Gag Manga Biyori +	[Comedy, BasedonaManga, Crude, Episodic]
Gag Manga Biyori 2	[Comedy, BasedonaManga, Crude, Episodic]
Gag Manga Biyori 3	[Comedy, BasedonaManga, Crude, Episodic]
Gag Manga Biyori Jump Festa OVA	[Comedy, BasedonaManga, Crude, Demons, Idols, Shorts]
Gaiking: Legend of Daiku-Maryu	[Mecha]
Gaist Crusher	[]
Gakkatsu!	[Comedy, Chibi, FlashAnimation, OriginalWork, SchoolLife]
Gakkatsu! 2nd Season	[Comedy, Chibi, FlashAnimation, OriginalWork, SchoolLife]
Gakuen Alice	[Comedy, BasedonaManga, FamilyFriendly, Magic, SchoolLife, Superpowers]
Gakuen Handsome The Animation	[Comedy, Romance, Shounen-ai, BasedonaVideoGame, Parody, SchoolLife]
Gakuen Heaven	[Shounen-ai, BasedonaVisualNovel, SchoolLife]
Gakuen Heaven: Hamu Hamu Heaven	[]
Gakumon! Ookami Shoujo wa Kujikenai	[]
Gakusaver	[Comedy, Mecha, SciFi, Aliens]
Galaxy Angel	[Comedy, SciFi, Episodic, OuterSpace]
Galaxy Angel A	[Comedy, SciFi, Episodic, OuterSpace]
Galaxy Angel A Specials	[Comedy]
Galaxy Angel Rune	[Comedy, SciFi, OuterSpace]
Galaxy Angel S	[Comedy, SciFi]
Galaxy Angel X	[Comedy, SciFi, Episodic, OuterSpace]
Galaxy Angel Z	[Comedy, SciFi, Episodic, OuterSpace]
Galaxy Angel Z Special	[Comedy]
Galaxy Express 999	[Adventure, SciFi, BasedonaManga, Trains]
Galaxy Express 999 Movie	[Adventure, SciFi, BasedonaManga, Trains]
Galaxy Express 999: Can You Live Like A Warrior?	[SciFi, BasedonaManga, Trains]
Galaxy Express 999: Eternal Fantasy	[SciFi, Trains]
Galaxy Express 999: Glass no Clair	[SciFi, BasedonaManga, Trains]
Galaxy Fraulein Yuna	[Comedy, SciFi]
Galaxy Fraulein Yuna Returns	[SciFi]
Galaxy Railways	[SciFi, OuterSpace, Trains]
Galaxy Railways II	[]
Galaxy Railways: A Letter from the Abandoned Planet	[SciFi]
Galerians: Rion	[Horror, SciFi, PsychicPowers]
Galilei Donna	[SciFi, noitaminA]
Gall Force 1: Eternal Story	[Action, SciFi, Nudity, OuterSpace]
Gall Force 2: Destruction	[Action, SciFi, Nudity, OuterSpace]
Gall Force 3: Stardust War	[Action, SciFi, Nudity, OuterSpace]
Gall Force 4: Rhea Gall Force	[Action, SciFi, Cyborgs, Post-apocalyptic]
Gall Force 5: Earth Chapter	[Action, SciFi, Post-apocalyptic, Robots, War]
Gall Force 6: New Era	[Action, SciFi]
Gall Force: The Revolution	[]
Gallery Fake	[Mystery, Seinen, BasedonaManga]
Gamba no Bouken	[Adventure, AnimalProtagonists]
Gambo	[Shorts]
Ganba Fly High	[Comedy, Shounen, Sports, BasedonaManga, SchoolClub, SchoolLife, Tournaments]
Ganbare Genki	[Sports, Boxing]
Ganbare! Kickers	[Sports, BasedonaManga, Soccer]
Gangsta.	[Action, Seinen, BasedonaManga, DrugUse, ExplicitViolence, MatureThemes, PhysicalAbuse, SexualContent]
Gangsta. Recap	[Action, Seinen, BasedonaManga, ExplicitViolence, MatureThemes, PhysicalAbuse, Recap, SexualContent]
Gankutsuou: The Count of Monte Cristo	[Drama, Mystery, SciFi, Seinen, Abstract, BasedonaNovel, Europe, Thriller]
Ganso Tensai Bakabon	[]
GaoGaiGar	[Action, Adventure, Mecha, SciFi, Aliens, CombiningMecha, Cyborgs, OriginalWork]
GaoGaiGar FINAL Grand Glorious Gathering	[Action, Adventure, Mecha, SciFi, Aliens, CombiningMecha, Cyborgs, OriginalWork]
GaoGaiGar Final	[Action, Adventure, Mecha, SciFi, Aliens, CombiningMecha, Cyborgs, OriginalWork]
Garaga	[Action, SciFi, Aliens, OuterSpace, PsychicPowers]
Gargantia on the Verdurous Planet	[Action, Adventure, Mecha, SciFi, OriginalWork, PersoninaStrangeWorld, Post-apocalyptic, Robots]
Gargantia on the Verdurous Planet Special	[]
Gargantia on the Verdurous Planet: Meguru Kouro, Haruka	[]
Gargoyle of the Yoshinagas	[Comedy, Fantasy, BasedonaLightNovel, FamilyFriendly]
Gargoyle of the Yoshinagas Special	[]
Garo Movie	[Action, Fantasy, BasedonaTVSeries]
Garo The Animation	[Action, Adventure, Fantasy, BasedonaTVSeries, Demons, Magic, Medieval, Nudity, PhysicalAbuse, Violence]
Garo: Guren no Tsuki	[Action, Adventure, Fantasy, BasedonaTVSeries, Demons, FeudalJapan, Magic]
Garzey's Wing	[Action, Adventure, Fantasy, BasedonaManga, PersoninaStrangeWorld]
Gasaraki	[Action, Mecha, SciFi, Military, OriginalWork, Political]
Gasshin Sentai Mechander Robo	[Mecha]
Gatchaman	[SciFi]
Gatchaman Crowds	[Action, SciFi, Aliens, Political, SocialMedia, Superpowers]
Gatchaman Crowds Insight	[Action, SciFi, Aliens, Political, SocialMedia, Superpowers]
Gatchaman Crowds Insight: Inbound	[Action, Aliens, SocialMedia]
Gatchaman Crowds: Embrace	[Action, Aliens, SocialMedia]
Gatchaman F	[SciFi]
Gatchaman II	[SciFi]
Gatchaman OVA	[SciFi]
Gatchaman The Movie	[SciFi]
Gate: Jieitai Kanochi nite, Kaku Tatakaeri	[Adventure, Fantasy, BasedonaLightNovel, Dragons, Military, PersoninaStrangeWorld, Political]
Gate: Jieitai Kanochi nite, Kaku Tatakaeri (2016)	[Adventure, Fantasy, BasedonaLightNovel, Dragons, Military, PersoninaStrangeWorld, Political]
Gatekeepers	[Action, Comedy, SciFi, Aliens, SchoolLife, Superpowers]
Gatekeepers 21	[Action, SciFi, Aliens, Superpowers]
Gauche the Cellist	[ClassicalMusic, Countryside, Music]
Gdleen	[SciFi]
GeGeGe no Kitarou	[BlackandWhite, Episodic, JapaneseMythology, Supernatural]
GeGeGe no Kitarou (1968)	[BlackandWhite, JapaneseMythology, Supernatural]
GeGeGe no Kitarou (1971)	[JapaneseMythology, Supernatural]
GeGeGe no Kitarou (1985)	[Episodic, JapaneseMythology, Supernatural]
GeGeGe no Kitarou (1996)	[Comedy, JapaneseMythology, Supernatural]
GeGeGe no Kitarou (2007)	[Action, Episodic, Supernatural]
GeGeGe no Kitarou Movie (1985)	[JapaneseMythology, Supernatural]
GeGeGe no Kitarou: Chisougan	[JapaneseMythology, Supernatural]
GeGeGe no Kitarou: Daikaijuu	[Action, Supernatural]
GeGeGe no Kitarou: Gekitotsu!! Ijigen Youkai no Daihanran	[JapaneseMythology, Supernatural]
GeGeGe no Kitarou: Jigoku-hen	[JapaneseMythology, Supernatural]
GeGeGe no Kitarou: Kitarou Tanjou-hen	[JapaneseMythology, Supernatural]
GeGeGe no Kitarou: Kitarou no Yuurei Densha	[JapaneseMythology, Supernatural]
GeGeGe no Kitarou: Nippon Bakuretsu!!	[JapaneseMythology, Supernatural]
GeGeGe no Kitarou: Obake Nighter	[JapaneseMythology, Supernatural]
GeGeGe no Kitarou: Saikyou Youkai Gundan! Nihon Jouriku!!	[JapaneseMythology, Supernatural]
GeGeGe no Kitarou: Youkai Daisensou	[JapaneseMythology, Supernatural]
GeGeGe no Kitarou: Youkai Japan Rally 3D	[Cars, JapaneseMythology, Racing, Supernatural]
GeGeGe no Kitarou: Youkai Tokkyuu! Maboroshi no Kisha	[JapaneseMythology, Supernatural]
Gear Fighter Dendoh	[Comedy, Mecha, SciFi]
Gedo Senki	[Drama, Fantasy]
Geisters: Fractions of the Earth	[Action, SciFi, OriginalWork, Post-apocalyptic]
Gekigangar 3	[Action, Mecha, SciFi, Parody]
Gekijouban Anime Nintama Rantarou Ninjutsu Gakuen Zenin Shutsudou! no Dan	[Comedy, Ninja]
Gekijouban Major	[Shounen, Sports, Baseball]
Gekijouban Munto Tenjoubito to Akutobito Saigo no Tatakai	[]
Gekkan Shoujo Nozaki-kun	[Comedy, Romance, Shounen, BasedonaManga, MangaIndustry, OtakuCulture, SchoolLife]
Gekkan Shoujo Nozaki-kun Specials	[Comedy, BasedonaManga, SchoolLife]
Gene Diver	[SciFi, OriginalWork, Science, VirtualReality]
Generation of Chaos III	[Action, Adventure, Fantasy, BasedonaVideoGame, Magic, Medieval, Political, RPG, Swordplay, War]
Generation of Chaos Next	[Action, Adventure, Fantasy, Romance, BasedonaVideoGame, Demons, Monsters, RPG, Swordplay]
Generation of Chaos Prologue	[Action, Adventure, Fantasy, BasedonaVideoGame, Demons, Monsters, RPG, Swordplay]
Generator Gawl	[Action, SciFi, Shounen, Superpowers, TimeTravel]
Geneshaft	[SciFi, OuterSpace]
Genesis Climber Mospeada: Love, Live, Alive	[]
Genesis Survivor Gaiarth	[Action, Mecha, SciFi, Post-apocalyptic]
Genius Party	[Collections]
Genius Party Beyond	[Collections]
Genji Monogatari Sennenki	[Drama, Josei, Romance, BasedonaNovel, FeudalJapan, noitaminA, SexualContent]
Genji Tsuushin Agedama	[]
Genki Bakuhatsu Ganbaruger	[]
Genmu Senki Leda	[Action, Adventure, Fantasy, Mecha, SciFi, Music, PersoninaStrangeWorld]
Genocidal Organ	[SciFi, BasedonaNovel, noitaminA]
Genocyber	[SciFi, ExplicitViolence, Monsters, PhysicalAbuse, SexualAbuse, Superpowers]
Genshi Shounen Ryuu	[]
Genshiken	[Comedy, SliceofLife, BasedonaManga, Doujinshi, MangaIndustry, OtakuCulture, SchoolClub]
Genshiken 2	[Comedy, SliceofLife, BasedonaManga, Doujinshi, MangaIndustry, OtakuCulture, SchoolClub]
Genshiken Nidaime	[Comedy, SliceofLife, BasedonaManga, Doujinshi, MangaIndustry, OtakuCulture, SchoolClub]
Genshiken Nidaime Specials	[Comedy, OtakuCulture]
Genshiken Nidaime no Roku	[]
Genshiken OVA	[Comedy, OtakuCulture]
Geobreeders	[Action, Adventure]
Geobreeders 2	[Action]
Gestalt	[Action, Adventure, Comedy, Fantasy, BasedonaManga, Dragons, Magic]
Get Backers	[Action, Comedy, Shounen, BasedonaManga, Superpowers]
Get Ride! AM Driver	[OriginalWork]
Getsumen To Heiki Mina	[Comedy, MagicalGirl, Aliens, Magic]
Getsumen To Heiki Mina Specials	[]
Getter Robo	[Mecha, CombiningMecha]
Getter Robo Armageddon	[Mecha]
Getter Robo G	[Action, Mecha, SciFi]
Getter Robo Go	[Mecha, SciFi]
Getter Robo Movie	[Action, Mecha]
Ghiblies	[Comedy]
Ghost Hound	[Horror, OriginalWork, Psychological, Supernatural]
Ghost Hunt	[Horror, Shoujo, BasedonaLightNovel, Detectives, GhostHunters, Supernatural]
Ghost Stories	[Supernatural]
Ghost Sweeper Mikami	[Comedy, GhostHunters, Monster-of-the-week, Supernatural]
Ghost Sweeper Mikami Movie	[GhostHunters, Supernatural]
Ghost Talker's Daydream	[Ecchi, GhostHunters, Suicide, Supernatural]
Ghost in the Shell	[SciFi, Cyberpunk, Cyborgs, Hacking, Police]
Ghost in the Shell 2.0	[SciFi, Cyberpunk, Cyborgs, Hacking]
Ghost in the Shell 2: Innocence	[SciFi, Cyberpunk, Cyborgs, Hacking]
Ghost in the Shell: Arise	[SciFi]
Ghost in the Shell: Arise - Alternative Architecture	[SciFi]
Ghost in the Shell: Arise - Another Mission	[Promotional]
Ghost in the Shell: Arise - Logicoma Specials	[]
Ghost in the Shell: Arise border:less project - WORKING HIGH	[]
Ghost in the Shell: Nyuumon Arise	[]
Ghost in the Shell: Stand Alone Complex	[SciFi, Cyberpunk, Cyborgs, Hacking]
Ghost in the Shell: Stand Alone Complex - Individual Eleven	[SciFi, Cyberpunk, Cyborgs, Hacking]
Ghost in the Shell: Stand Alone Complex - Individual Eleven - Tachikoma Days	[Comedy, Robots]
Ghost in the Shell: Stand Alone Complex - Solid State Society	[SciFi, Cyberpunk, Cyborgs, Hacking, Police]
Ghost in the Shell: Stand Alone Complex - Tachikoma Days	[Comedy, SciFi]
Ghost in the Shell: Stand Alone Complex - The Laughing Man	[SciFi, Cyberpunk, Cyborgs, Hacking]
Ghost in the Shell: Stand Alone Complex - The Laughing Man - Tachikoma Days	[Robots]
Ghost in the Shell: Stand Alone Complex 2nd Gig	[SciFi, Cyberpunk, Cyborgs, Hacking]
Ghost in the Shell: Stand Alone Complex 2nd Gig - Tachikoma Days	[Comedy, SciFi]
Ghost in the Shell: The New Movie	[SciFi]
Ghost in the Shell: Uchikomatic Days	[]
Giant Gorg	[Mecha]
Giant Killing	[Seinen, Sports, BasedonaManga, Soccer, Tournaments]
Giant Robo	[Mecha, SciFi, BasedonaManga]
Giant Robo: Ginrei Special	[Comedy, Mecha, SciFi, Parody]
Gift Eternal Rainbow	[Comedy, Fantasy, Harem, Romance, BasedonanEroge, BasedonaVisualNovel, Magic, SchoolLife]
Gift Eternal Rainbow: Critical Moment at the Konosaka Inn	[]
Gifuu Doudou!! Kanetsugu to Keiji	[FeudalJapan, Samurai]
Gigantic Formula	[Action, Mecha, SciFi, OriginalWork]
Gilgamesh	[SciFi, BasedonaManga, Post-apocalyptic, Superpowers]
Gin-iro no Olynssis	[Mecha, BasedonaLightNovel, Post-apocalyptic]
Ginban Kaleidoscope	[Comedy, Drama, Romance, Sports, BasedonaLightNovel, Supernatural, Tournaments, Tsundere]
Ginga Densetsu Weed	[Action, Adventure, AnimalProtagonists, BasedonaManga]
Ginga Hyouryuu Vifam	[]
Ginga Hyouryuu Vifam 13	[]
"Ginga Hyouryuu Vifam: ""Keito no Kioku"" Namida no Dakkai Sakusen!!"	[]
Ginga Hyouryuu Vifam: Kieta 12-nin	[]
Ginga Kikoutai Majestic Prince	[Action, Mecha, SciFi, BasedonaManga, OuterSpace]
Ginga Patrol PJ	[]
Ginga Reppuu Baxinger	[Mecha]
Ginga Senpuu Braiger	[SciFi]
Ginga Shippuu Sasuraiger	[Mecha, SciFi]
Ginga Shounen Tai	[Action, Adventure, SciFi, BlackandWhite, OuterSpace, StopMotionAnimation]
Ginga Tansa 2100-nen: Border Planet	[SciFi]
Ginga Tetsudou 999: Kimi wa Haha no You ni Aiseruka!!	[SciFi, BasedonaManga, Trains]
Ginga e Kickoff!!	[Sports, BasedonaNovel, Soccer, Tournaments]
Ginga e Kickoff!! Special	[]
Gingitsune: Messenger Fox of the Gods	[SliceofLife, BasedonaManga, JapaneseMythology, Supernatural]
Ginmaku Hetalia: Axis Powers - Paint it, White (Shiroku Nure!)	[Comedy, Aliens, BasedonaManga, Historical, Parody, Political]
Gintama	[Action, Comedy, Drama, SciFi, Aliens, BasedonaManga, Crude, FeudalJapan, Parody, Samurai, Swordplay]
